y_true,probability,prediction
0,0.22348077261677446,0
0,0.35502275597278404,0
0,0.10668872239017829,0
0,0.05857064334584866,0
0,0.5038599096863483,1
0,0.07712774396315038,0
0,0.012729521029732486,0
0,0.5928024838050753,1
0,0.841985940888216,1
0,0.010932408873681658,0
0,0.5481426111858417,1
0,0.4133790089820949,0
0,0.008398851186199955,0
1,0.9916051753271635,1
1,0.6715159609478953,1
1,0.6359045203021247,1
0,0.6878946103190354,1
1,0.9922442629222704,1
0,0.5439424011369512,1
0,0.43412647438713786,0
1,0.9002727634014578,1
0,0.00593345331659968,0
1,0.9236863037930079,1
0,0.009730336394888623,0
1,0.9749798626356257,1
1,0.9384628241349537,1
1,0.3060197919406606,0
0,0.7347397580525867,1
1,0.8917176250964484,1
0,0.031328369354770694,0
0,0.00037591521860500394,0
0,0.14721654212964283,0
0,0.0067616378836307675,0
1,0.06296116991270934,0
1,0.8495913812506644,1
0,0.0009918700921668145,0
0,0.0006421659030131815,0
0,0.017682167879004663,0
0,0.24921455314276797,0
0,0.1968899477656855,0
1,0.7039996497190699,1
0,0.5630920389860733,1
0,0.5919855377838805,1
0,0.010585173962208691,0
0,0.3151764534988635,0
0,0.036028703335345344,0
0,0.1386626904565869,0
0,0.5503031049190525,1
0,0.0039821724225884755,0
1,0.8927692787866451,1
0,0.03467156805733403,0
0,0.30935118326366456,0
1,0.3274466152868287,0
0,0.04272535975983978,0
0,0.7166483402586098,1
0,0.22463259746012273,0
0,0.0015963459226157946,0
0,0.24269507377205127,0
0,0.14134311023522114,0
0,0.3623089957740561,0
0,0.1466346926530526,0
0,0.7052742680894089,1
1,0.6912336319875445,1
0,0.01388359120957736,0
1,0.15239035131620535,0
0,0.008675033908222236,0
0,0.10245883045691905,0
0,0.01375688729719289,0
0,0.3800717898199116,0
0,0.02228960144939927,0
0,0.5926754319555934,1
1,0.873905431033611,1
0,0.262968145217753,0
0,0.7471407473364562,1
0,0.6894318082580483,1
1,0.8722707063914548,1
0,0.41161948727381686,0
0,0.0005252481564280649,0
1,0.780266003897371,1
0,0.7762404835352031,1
0,0.00011208545097150723,0
0,0.5453887107415926,1
0,0.25093415606233205,0
0,0.042935312630640654,0
0,0.026699445337916117,0
1,0.949721389817089,1
0,0.012719239508579849,0
0,0.22870985672061092,0
0,0.34285630736833933,0
0,0.07532245247896409,0
0,0.01903410212117722,0
1,0.7442004535249901,1
1,0.850241927299264,1
1,0.9753864286471181,1
0,0.017882344040507217,0
0,0.018221441906484285,0
0,0.02869883432844442,0
0,0.16501209015349574,0
0,0.6273606491294003,1
0,0.008341242036999713,0
0,0.6003318881896565,1
0,0.4572450007711686,0
1,0.9201613076091786,1
1,0.6979537152512285,1
0,0.00019076709969029982,0
0,0.04200411897162688,0
0,0.011597504303200083,0
0,0.06803014316470743,0
0,0.5412273927619422,1
1,0.7743080774153331,1
0,0.06063563494256652,0
0,0.23973574655479524,0
0,0.00027213932342078014,0
1,0.973362525344514,1
0,0.03658332625452182,0
1,0.7062899843716034,1
0,0.18816278374470494,0
0,0.0861652378552458,0
1,0.3028391559282296,0
0,0.5848353534711206,1
0,0.23703389861029966,0
0,0.7802436616674702,1
0,0.5804509804316783,1
0,0.08909634057455089,0
0,0.4504144616099748,0
0,0.08483188977621488,0
0,0.01993612006493804,0
0,0.06727345177084637,0
0,0.0013155233963956924,0
0,0.5475962703947859,1
1,0.5167622989731205,1
1,0.4522182002483534,0
0,0.14318895798953615,0
0,0.15891317659966356,0
0,0.5108077450160319,1
1,0.9901960663475088,1
0,0.7450739075956995,1
0,0.40860251558532845,0
0,0.44071934816607267,0
0,0.03208124591770962,0
1,0.4269363964959347,0
1,0.827646894614351,1
0,0.05091513047750735,0
0,0.505511946978024,1
1,0.9216248614629613,1
0,0.1454592388638253,0
0,0.010865278246843928,0
1,0.7832989103126161,1
1,0.6352912606280665,1
0,0.6619487068498169,1
0,0.0006987881710023882,0
1,0.3430382670807354,0
0,0.11168380183631031,0
0,0.21270597322764065,0
0,0.036689082173584776,0
0,0.37344874170452136,0
0,0.24363091269744222,0
1,0.8887013154176141,1
0,0.21074858140644254,0
0,0.6047479464803528,1
0,0.25352751694754044,0
0,0.029910491074763474,0
0,0.30671165600173134,0
1,0.7983361725150385,1
0,0.6698881084529794,1
0,0.012779178036320888,0
0,0.42519652274454006,0
0,0.013884478119141654,0
0,0.005961952979429122,0
0,0.01468115703558337,0
0,0.399391415694704,0
1,0.6685103522888728,1
0,0.49255501986480654,0
1,0.6242597010813672,1
1,0.9952744757269403,1
0,0.4106198230553406,0
1,0.8584381522903247,1
0,0.05055970844133892,0
0,0.36701933504671885,0
1,0.780731118630786,1
0,0.0003414189267840142,0
0,0.017826704127246233,0
1,0.6948344169462719,1
1,0.9835627867876396,1
0,0.24703997898640423,0
1,0.9325570597504973,1
0,0.7107491720979603,1
1,0.42670364723985094,0
1,0.8209728821837,1
0,0.06525537061885306,0
0,0.38843482668717544,0
0,0.009804324510492155,0
0,0.002336087740908252,0
0,0.21492219702648607,0
0,0.5665175124959587,1
0,0.48556883258959516,0
0,0.07620114474631351,0
1,0.7767354597951627,1
0,0.20884988989091302,0
0,0.0040246992304635585,0
1,0.8832235264995298,1
0,0.09679585072580438,0
0,0.015189737243113611,0
0,0.36613777235790773,0
1,0.9827251732784498,1
0,0.6499754933745042,1
0,0.0922680311924684,0
0,0.3928422011479238,0
0,0.025959779141594863,0
0,0.10164121990195477,0
1,0.9800902445496484,1
1,0.9844351135115077,1
1,0.46363347929146337,0
0,0.21843319542193876,0
0,0.024023042467169936,0
0,0.14176613968312302,0
0,0.009878589638797142,0
0,0.33210679185302094,0
0,0.11073264890470952,0
0,0.3024563231479681,0
0,0.08566080846228331,0
0,0.21315510524808018,0
0,0.056887779231358473,0
0,0.20485780359489988,0
0,0.000809090290398301,0
0,0.009312638910358047,0
1,0.9907086289876416,1
0,0.04301982650539177,0
0,0.48331775739376126,0
1,0.9905237391295486,1
0,0.007556489289170902,0
0,0.06975036432523028,0
1,0.8698414043547056,1
1,0.49429014098383106,0
0,0.47008945225797355,0
1,0.8436786512901683,1
0,0.33620735678956476,0
0,0.6301065551580985,1
