y_true,probability,prediction
0,0.08740532097667457,0
1,0.580389029954803,1
0,0.6456677325425663,1
0,0.17017413367598166,0
0,0.8033185743773011,1
0,0.6652906524630218,1
0,0.131665110264906,0
0,0.2915906227907871,0
0,0.11451739549904344,0
0,0.03790874600921599,0
0,0.04070349068990571,0
0,0.024064450723876536,0
0,0.5105893600026234,1
1,0.6212106866584061,1
1,0.3960895807013767,0
0,0.07244198074794686,0
0,0.15370634713591652,0
0,0.35233931893587767,0
1,0.9875735347239131,1
0,0.8658711056607228,1
0,0.4299483477006781,0
0,0.5340792054627405,1
0,0.08380603084994416,0
1,0.39859470038106487,0
1,0.8737348912839904,1
0,0.02374074175059073,0
0,0.5855103192195424,1
1,0.9849956326557755,1
0,0.06956588085704803,0
0,0.029316961376819346,0
1,0.8163786149866221,1
1,0.855102480777851,1
0,0.5753581460292285,1
0,0.012330148532489078,0
1,0.6568326627706614,1
0,0.047365342764636865,0
0,0.26310112999854723,0
0,0.031194733021983133,0
0,0.18042354483906775,0
0,0.2396310628326433,0
1,0.9130264205009951,1
0,0.13606402257875622,0
0,0.6035070541826495,1
0,0.0702596179260439,0
0,0.0953478276955022,0
0,0.2682230573383375,0
1,0.8309669415330895,1
0,0.6454960494169607,1
0,0.032719631684082186,0
0,0.79190924509667,1
0,0.03931926581814639,0
0,0.02340671825382944,0
0,0.006119535856404788,0
0,0.22941474004086948,0
1,0.7482807821765127,1
0,0.6716283496240724,1
1,0.5466187305436777,1
1,0.9990327365597458,1
0,0.5284590725145121,1
1,0.8609006830788953,1
0,0.0843836972966329,0
0,0.4600416987446917,0
1,0.7840355194450599,1
0,0.002333947946746732,0
0,0.024951150820314037,0
1,0.7278412618429827,1
1,0.9992502057661046,1
0,0.23744233284346244,0
1,0.9831456899837192,1
0,0.6506997411624477,1
1,0.6784980588816162,1
1,0.7985297354348267,1
0,0.2001838683483125,0
0,0.29748724355718686,0
0,0.0125987104892518,0
0,0.002209530348353512,0
0,0.21644082316908517,0
0,0.7843489298845181,1
0,0.46967020080390065,0
0,0.11941136399032987,0
1,0.7253978296280265,1
0,0.44168034144470647,0
0,0.022704340057250912,0
1,0.8280029973427389,1
0,0.06793168503411835,0
0,0.04647490188963502,0
0,0.3937730596969831,0
1,0.980933038785233,1
0,0.7051749847719783,1
0,0.014629236855067075,0
0,0.3185951316127247,0
0,0.03382299133730195,0
0,0.0049568080670827,0
1,0.963427023453727,1
1,0.9553199875434126,1
1,0.7653171116211203,1
0,0.25740895576562545,0
0,0.003984590031850862,0
0,0.029171482072668634,0
0,0.004271381336993955,0
0,0.4258371093672699,0
0,0.09328939431910467,0
0,0.67102451419792,1
0,0.11146383284084764,0
0,0.32749000762787933,0
0,0.042246220409925594,0
0,0.33321515656769324,0
0,0.00510279764315651,0
0,0.07742699757925102,0
1,0.9945553571743132,1
0,0.07001852169566147,0
0,0.38833143565880585,0
1,0.99627388345541,1
0,0.017976026175284644,0
0,0.1758429503518799,0
1,0.984202869680957,1
1,0.5592977764005159,1
0,0.4456394282931798,0
1,0.8341160410346459,1
0,0.33505825740656037,0
0,0.8268011007070449,1
0,0.37079206905233,0
1,0.7705975886289499,1
0,0.23989739292910972,0
1,0.7292149121734766,1
0,0.23932030043092778,0
0,0.02660422717463851,0
0,0.005500908462171067,0
0,0.02138942458929706,0
0,0.2189303521496234,0
0,0.014983965050669073,0
0,0.33992341439619383,0
1,0.9997172445633407,1
0,0.07939982495323313,0
0,0.45434427060398347,0
0,0.012128730644350678,0
0,0.3227038946756173,0
0,0.5880270059427568,1
0,0.010804088558922885,0
0,0.5956499353093554,1
0,0.09981495462036566,0
0,0.7039474679329125,1
0,0.37962603167530234,0
0,0.021779224247008646,0
0,0.0033194470868365853,0
0,0.45441080266685735,0
0,0.20005491769047454,0
1,0.5956263782526966,1
1,0.2861958923762629,0
0,0.032440478538352364,0
1,0.5036094336015755,1
0,0.3213210536272644,0
0,0.5274263514972631,1
0,0.1914888153110189,0
0,0.9029683200242767,1
0,0.023810789396390582,0
0,0.05807156056119079,0
1,0.8354214527917694,1
0,0.11491817562093415,0
0,0.07799061620878683,0
1,0.14227361703907032,0
0,0.19275928920615015,0
0,0.15979920989017304,0
0,0.1768854166765057,0
0,0.008353055909486644,0
0,0.03673005741732103,0
0,0.1926440369591893,0
1,0.8057045224336316,1
1,0.9994916387938856,1
1,0.9567919135816311,1
0,0.2670101694655573,0
0,0.04006874338712995,0
0,0.19023839899442227,0
1,0.5673390675335312,1
0,0.03119794575468049,0
