threshold,precision,recall,f1
0.20999999999999996,0.4777677192608765,0.9600856072766185,0.6380315744559807
0.21499999999999997,0.48030652162263543,0.9591225254146603,0.6400771263300721
0.21999999999999997,0.48261174313905214,0.9578384162653826,0.6418327835938621
0.22499999999999998,0.48473841149362973,0.9567683253076511,0.6434688736955739
0.22999999999999998,0.48694609472938355,0.9560192616372392,0.6452405026722519
0.235,0.4891995614035088,0.9548421615837346,0.6469458038789198
0.24,0.49106749007498895,0.9530230069555913,0.6481569084094465
0.245,0.49323349972268443,0.9516318887105404,0.649716894977169
0.24999999999999994,0.49559053360125027,0.9501337613697164,0.6514067715784454
0.25499999999999995,0.49770024680278213,0.9494917067950776,0.6530747433113753
0.25999999999999995,0.5001693384511177,0.9482075976457999,0.6548908022615573
0.26499999999999996,0.502670151119191,0.9468164794007491,0.6566964782721639
0.26999999999999996,0.5054064877853424,0.9453183520599251,0.6586638830897703
0.27499999999999997,0.5077100115074799,0.9442482611021937,0.660355472404116
0.27999999999999997,0.5098095954627004,0.9426431246655965,0.6617337740384616
0.285,0.5118756549074398,0.9409309791332263,0.663047166610112
0.29,0.5140498770635757,0.9396468699839486,0.6645476217504824
0.295,0.5164880461665292,0.9385767790262173,0.6663121510236639
0.3,0.5187555555555555,0.9367576243980739,0.6677345537757438
0.30499999999999994,0.5211922503725782,0.9355805243445693,0.669448698315467
0.30999999999999994,0.5232125719769674,0.9334403424291065,0.670561555905754
0.31499999999999995,0.5256046806200615,0.9324772605671482,0.6722727974078074
0.31999999999999995,0.527863683221151,0.9315141787051899,0.6738659235175724
0.32499999999999996,0.5300786249771439,0.9306581059390048,0.6754426840633737
0.32999999999999996,0.532184894556155,0.9289459604066346,0.676696418131504
0.33499999999999996,0.5346039970392302,0.9274478330658106,0.6782486207301326
0.33999999999999997,0.5375489160817442,0.9260567148207598,0.6802389561389719
0.3449999999999999,0.5397975759090341,0.9245585874799358,0.6816299159796457
0.3499999999999999,0.5423920558104456,0.9234884965222044,0.6834019638897688
0.3549999999999999,0.5446033151967608,0.9211342964151953,0.6845055862589957
0.35999999999999993,0.5466802340371407,0.9198501872659176,0.6857872272527823
0.36499999999999994,0.5493183127440312,0.9183520599250936,0.68743992310157
0.36999999999999994,0.5512424359469551,0.916318887105404,0.6883717191205434
0.37499999999999994,0.5525158452981503,0.9141787051899412,0.6887572056274439
0.37999999999999995,0.5544277441603227,0.911824505082932,0.6895686655337055
0.38499999999999995,0.5562606306424179,0.9098983413590155,0.6904307579879014
0.38999999999999996,0.5583124917730683,0.9077581594435526,0.6913892171645136
0.39499999999999996,0.5610143680063564,0.9066880684858213,0.6931446335078534
0.3999999999999999,0.5630324813631523,0.9051899411449973,0.694242685378965
0.4049999999999999,0.5652232112977712,0.9036918138041734,0.6954624063246315
0.4099999999999999,0.5670949081859151,0.9021936864633494,0.6964315215595572
0.4149999999999999,0.5692245229395047,0.9001605136436597,0.6974256933217261
0.41999999999999993,0.5717594169334514,0.8982343499197432,0.6987430283859153
0.42499999999999993,0.5734256150209004,0.8954521134296415,0.6991394435625365
0.42999999999999994,0.5759100937672367,0.8938469769930444,0.7004905866074049
0.43499999999999994,0.5782237344628846,0.8910647405029427,0.7013391729133328
0.43999999999999995,0.5808186644314054,0.889780631353665,0.7028443430117071
0.44499999999999995,0.5832044975404076,0.8880684858212948,0.704050901378579
0.4499999999999999,0.5852710438900276,0.8861423220973783,0.704945943645186
0.4549999999999999,0.5874617954367759,0.884430176565008,0.7059878705048261
0.4599999999999999,0.5893367638650657,0.8823970037453184,0.7066889488794618
0.4649999999999999,0.5919585700927857,0.8806848582129481,0.7080178940123881
0.4699999999999999,0.5942249240121581,0.8786516853932584,0.7089755213055303
0.4749999999999999,0.5971999416654513,0.8764044943820225,0.7103517064920422
0.4799999999999999,0.5991489986061184,0.8739432851792402,0.7109157381615598
0.48499999999999993,0.6016817880061961,0.8728731942215088,0.7123395336651821
0.48999999999999994,0.604098604098604,0.8706260032102728,0.7132775172051024
0.49499999999999994,0.6064410072480012,0.8684858212948101,0.7141851460753256
0.49999999999999994,0.6079285231623995,0.8664526484751204,0.7145252382633251
0.5049999999999999,0.6101746163731196,0.8637774210807919,0.7151590325152831
0.5099999999999999,0.6126036989116371,0.8613162118780097,0.715975805016901
0.5149999999999999,0.61481878783235,0.8586409844836811,0.7165565279514199
0.5199999999999999,0.6171820775815532,0.8563937934724452,0.7173718178558623
0.5249999999999999,0.6191104556392145,0.8535045478865704,0.7176534101133705
0.5299999999999999,0.6218053927315358,0.8513643659711075,0.71869918699187
0.5349999999999999,0.6245081064064222,0.8491171749598716,0.7196952519160129
0.5399999999999999,0.6273405268168836,0.8461209202782236,0.7204884049387216
0.5449999999999999,0.6299407905264842,0.8424826110219369,0.7208716751361992
0.5499999999999999,0.6322533849129593,0.8394863563402889,0.7212798234726244
